Y,M,D,CO2
1958,3,29,316.19
1958,4,5,317.31
1958,4,12,317.69
1958,4,19,317.58
1958,4,26,316.48
1958,5,3,316.95
1958,5,17,317.56
1958,5,24,317.99
1958,7,5,315.85
1958,7,12,315.85
1958,7,19,315.46
1958,7,26,315.59
1958,8,2,315.64
1958,8,9,315.1
1958,8,16,315.09
1958,8,30,314.14
1958,9,6,313.54
1958,11,8,313.05
1958,11,15,313.26
1958,11,22,313.57
1958,11,29,314.01
1958,12,6,314.56
1958,12,13,314.41
1958,12,20,314.77
1958,12,27,315.21
1959,1,3,315.24
1959,1,10,315.5
1959,1,17,315.69
1959,1,24,315.86
1959,1,31,315.42
1959,2,14,316.94
1959,2,21,316.61
1959,2,28,316.62
1959,3,7,316.81
1959,3,21,316.73
1959,3,28,316.71
1959,4,4,317.72
1959,4,11,317.12
1959,4,18,317.64
1959,4,25,318.32
1959,5,2,318.27
1959,5,9,318.78
1959,5,16,318.05
1959,5,23,318.43
1959,6,6,318.53
1959,6,13,318.14
1959,6,20,317.88
1959,6,27,317.76
1959,7,4,316.86
1959,7,11,316.83
1959,7,18,316.45
1959,7,25,316.16
1959,8,1,315.62
1959,8,8,314.91
1959,8,22,315
1959,8,29,314.15
1959,9,5,314.45
1959,9,12,313.93
1959,9,19,313.57
1959,9,26,313.54
1959,10,3,313.04
1959,10,10,313.15
1959,10,17,313.43
1959,10,24,313.46
1959,10,31,314.12
1959,11,7,314.42
1959,11,14,314.88
1959,11,21,315.2
1959,11,28,315.11
1959,12,5,315.06
1959,12,12,315.64
1959,12,19,315.86
1959,12,26,315.77
1960,1,2,315.72
1960,1,9,316.4
1960,1,16,316.73
1960,1,23,316.57
1960,1,30,316.68
1960,2,6,316.61
1960,2,13,316.98
1960,2,20,317.42
1960,2,27,317
1960,3,5,316.96
1960,3,12,317.76
1960,3,19,318.07
1960,3,26,317.77
1960,4,2,318.61
1960,4,9,319.34
1960,4,16,319.01
1960,4,23,319.03
1960,4,30,319.77
1960,5,7,319.96
1960,5,14,319.82
1960,5,21,320.04
1960,5,28,320.06
1960,6,4,319.46
1960,6,11,320.08
1960,6,18,319.42
1960,6,25,319.09
1960,7,2,318.18
1960,7,9,318.64
1960,7,16,318.41
1960,7,23,317.91
1960,7,30,317.33
1960,8,6,316.62
1960,8,13,316.7
1960,8,20,315.1
1960,8,27,314.78
1960,9,3,314.72
1960,9,10,314.58
1960,9,17,314.28
1960,9,24,313.33
1960,10,1,313.66
1960,10,8,313.32
1960,10,15,313.92
1960,10,22,314.21
1960,10,29,314.29
1960,11,5,314.5
1960,11,12,315.1
1960,11,19,315.1
1960,11,26,315.41
1960,12,3,315.84
1960,12,10,316.07
1960,12,17,316.21
1960,12,24,316.4
1960,12,31,316.67
1961,1,7,316.73
1961,1,14,317.02
1961,1,21,317.03
1961,1,28,317.01
1961,2,4,317.06
1961,2,11,317.75
1961,2,18,317.94
1961,2,25,318
1961,3,4,318.04
1961,3,11,318.51
1961,3,18,318.92
1961,3,25,318.71
1961,4,1,319.41
1961,4,8,319.55
1961,4,15,318.9
1961,4,22,319.74
1961,4,29,319.67
1961,5,6,320.67
1961,5,13,320.46
1961,5,20,320.61
1961,5,27,320.36
1961,6,3,320.09
1961,6,10,320.02
1961,6,17,319.62
1961,6,24,319.49
1961,7,1,319.26
1961,7,8,319.07
1961,7,15,318.49
1961,7,22,317.16
1961,7,29,317.97
1961,8,5,317.91
1961,8,12,317.33
1961,8,19,316.76
1961,8,26,315.26
1961,9,2,315.28
1961,9,9,314.97
1961,9,16,314.53
1961,9,23,315.06
1961,9,30,315.61
1961,10,7,314.97
1961,10,14,315.43
1961,10,21,315.48
1961,10,28,315.72
1961,11,4,315.82
1961,11,11,315.7
1961,11,18,316.21
1961,11,25,316.55
1961,12,2,316.52
1961,12,9,317.02
1961,12,16,316.94
1961,12,23,317.18
1961,12,30,317.46
1962,1,6,317.99
1962,1,13,318.12
1962,1,20,318.07
1962,1,27,317.78
1962,2,3,318.08
1962,2,10,318.35
1962,2,17,318.92
1962,2,24,319.38
1962,3,3,319.28
1962,3,10,319.46
1962,3,17,319.95
1962,3,24,319.78
1962,3,31,320.27
1962,4,7,320.26
1962,4,14,321.03
1962,4,21,320.78
1962,4,28,320.36
1962,5,5,320.89
1962,5,12,320.78
1962,5,19,321.05
1962,5,26,321.16
1962,6,2,320.91
1962,6,9,320.87
1962,6,16,320.52
1962,6,23,320.15
1962,6,30,320.23
1962,7,7,320.1
1962,7,14,319.95
1962,7,21,319.01
1962,7,28,318.75
1962,8,4,318.68
1962,8,11,317.24
1962,8,18,317.48
1962,9,15,316.65
1962,9,22,315.72
1962,9,29,315.92
1962,10,6,315.1
1962,10,13,315.4
1962,10,20,315.72
1962,10,27,315.78
1962,11,3,315.94
1962,11,10,316.49
1962,11,17,316.92
1962,11,24,317.08
1962,12,1,317.19
1962,12,8,317.31
1962,12,15,317.66
1962,12,22,318.18
1963,1,5,318.54
1963,1,12,318.73
1963,1,19,318.9
1963,1,26,318.82
1963,2,2,318.77
1963,2,9,318.95
1963,2,23,319.37
1963,3,2,319.35
1963,3,9,319.7
1963,3,16,319.8
1963,3,23,320.34
1963,3,30,320.29
1963,4,6,320.38
1963,4,13,320.96
1963,4,20,322.05
1963,4,27,321.92
1963,5,11,321.97
1963,5,18,322.28
1963,5,25,322.27
1963,6,1,322.32
1963,6,8,322.09
1963,6,15,321.83
1963,6,22,320.88
1963,6,29,320.49
1963,7,6,320.12
1963,7,13,319.82
1963,7,20,319.56
1963,7,27,319.06
1963,8,3,318.6
1963,8,10,318.27
1963,8,17,317.73
1963,8,24,317.12
1963,8,31,316.44
1963,9,7,316.81
1963,9,14,315.99
1963,9,21,316.03
1963,9,28,315.93
1963,10,5,316.28
1963,10,12,315.65
1963,10,19,316.14
1963,10,26,316.36
1963,11,2,316.63
1963,11,9,316.83
1963,11,16,317.13
1963,11,30,317.56
1963,12,7,318.07
1963,12,14,318.27
1963,12,21,318.59
1963,12,28,318.74
1964,1,4,319.04
1964,1,11,319.49
1964,1,18,319.88
1964,5,30,322.07
1964,6,6,322.06
1964,6,27,321.57
1964,7,4,321.14
1964,7,11,319.95
1964,7,18,320.28
1964,7,25,320.02
1964,8,1,319.14
1964,8,15,318.61
1964,8,22,318.23
1964,8,29,318.11
1964,9,5,317.48
1964,9,12,316.57
1964,9,19,315.59
1964,9,26,317.01
1964,10,3,316.93
1964,10,10,316.51
1964,10,17,316.86
1964,10,24,317.05
1964,10,31,317.65
1964,11,7,317.77
1964,11,14,317.65
1964,11,21,317.52
1964,11,28,318.11
1964,12,5,318.42
1964,12,12,318.58
1964,12,19,318.93
1964,12,26,318.91
1965,1,2,319.08
1965,1,9,319.17
1965,1,16,319.16
1965,1,23,319.79
1965,1,30,320.12
1965,2,6,320.2
1965,2,13,320.16
1965,2,20,320.7
1965,2,27,320.89
1965,3,6,321.07
1965,3,13,320.98
1965,3,20,320.49
1965,3,27,321.4
1965,4,3,321.95
1965,4,10,322.27
1965,4,17,322.17
1965,4,24,321.86
1965,5,1,322.46
1965,5,8,322.22
1965,5,15,321.94
1965,5,22,321.69
1965,5,29,322.26
1965,6,5,321.87
1965,6,12,321.77
1965,6,19,321.77
1965,6,26,321.99
1965,7,3,321.97
1965,7,10,321.85
1965,7,17,321.76
1965,7,24,320.47
1965,7,31,319.49
1965,8,7,319.47
1965,8,14,318.02
1965,8,21,318.82
1965,8,28,318.73
1965,9,4,318.39
1965,9,11,318.05
1965,9,18,318.26
1965,9,25,316.85
1965,10,2,316.6
1965,10,9,317.26
1965,10,16,317.86
1965,10,23,317.56
1965,10,30,317.63
1965,11,6,318.3
1965,11,13,319.26
1965,11,20,318.99
1965,11,27,319.17
1965,12,4,319.09
1965,12,11,319.37
1965,12,18,319.39
1965,12,25,319.7
1966,1,1,319.69
1966,1,8,320.49
1966,1,15,320.63
1966,1,22,321.09
1966,1,29,321.16
1966,2,5,321.26
1966,2,12,321.75
1966,2,19,321.67
1966,2,26,321.8
1966,3,5,322.1
1966,3,12,322.14
1966,3,19,322.57
1966,3,26,322.86
1966,4,2,323.55
1966,4,9,323.62
1966,4,16,323.88
1966,4,23,323.91
1966,4,30,323.53
1966,5,7,324
1966,5,14,324.1
1966,5,21,323.72
1966,5,28,324.31
1966,6,4,324.02
1966,6,11,323.88
1966,6,18,323.75
1966,6,25,323.32
1966,7,2,322.82
1966,7,9,322.9
1966,8,6,321.31
1966,8,13,320.85
1966,8,20,319.16
1966,8,27,319.64
1966,9,3,319.94
1966,9,10,318.22
1966,9,17,318.46
1966,9,24,318.31
1966,10,1,317.9
1966,10,8,317.9
1966,10,15,318.21
1966,10,22,318.61
1966,10,29,318.39
1966,11,12,319.59
1966,11,19,320.03
1966,11,26,320.24
1966,12,3,320.8
1966,12,10,320.87
1966,12,17,321.16
1966,12,24,321.31
1966,12,31,321.37
1967,1,7,321.92
1967,1,14,322.93
1967,2,4,322.19
1967,2,11,322.23
1967,2,18,322.86
1967,2,25,322.6
1967,3,4,322.94
1967,3,11,322.6
1967,3,18,323.33
1967,3,25,323.24
1967,4,1,323.15
1967,4,8,324.21
1967,4,15,324.41
1967,4,22,324.6
1967,4,29,325.16
1967,5,6,325.26
1967,5,13,324.78
1967,5,20,325.09
1967,5,27,324.94
1967,6,3,324.95
1967,6,10,324.65
1967,6,17,323.31
1967,6,24,323.5
1967,7,1,322.89
1967,7,8,322.85
1967,7,15,322.45
1967,7,22,322.4
1967,7,29,322.04
1967,8,5,321.65
1967,8,12,321.4
1967,8,19,320.48
1967,8,26,320.01
1967,9,2,320.07
1967,9,9,319.43
1967,9,16,319.35
1967,9,23,319.03
1967,9,30,318.81
1967,10,7,318.88
1967,10,14,319.86
1967,10,21,319.47
1967,10,28,319.86
1967,11,4,320.01
1967,11,11,320.34
1967,11,18,320.91
1967,11,25,321.54
1967,12,2,321.4
1967,12,9,321.89
1967,12,16,322.29
1967,12,23,321.98
1967,12,30,322.3
1968,1,6,322.46
1968,1,13,322.5
1968,1,20,322.59
1968,1,27,322.83
1968,2,3,322.66
1968,2,10,323.17
1968,2,17,323.46
1968,2,24,323.18
1968,3,2,323.15
1968,3,9,323.85
1968,3,16,323.85
1968,3,23,324.21
1968,3,30,324.77
1968,4,6,324.79
1968,4,13,325.04
1968,4,20,324.84
1968,4,27,325.45
1968,5,4,325.63
1968,5,11,325.09
1968,5,18,325.52
1968,5,25,325.86
1968,6,1,325.67
1968,6,8,325.71
1968,6,15,325.56
1968,6,22,324.99
1968,6,29,324.63
1968,7,6,324.7
1968,7,13,324.13
1968,7,20,323.94
1968,7,27,323.4
1968,8,3,322.49
1968,8,10,322.27
1968,8,17,322.02
1968,8,24,321.74
1968,8,31,321.42
1968,9,7,320.44
1968,9,14,321.18
1968,9,21,319.78
1968,9,28,319.89
1968,10,5,320.57
1968,10,12,320.52
1968,10,19,320.26
1968,10,26,319.92
1968,11,2,320.7
1968,11,9,320.89
1968,11,16,321.4
1968,11,23,321.78
1968,11,30,322.06
1968,12,7,322.44
1968,12,14,322.91
1968,12,21,323.33
1968,12,28,323.19
1969,1,4,323.39
1969,1,11,324.06
1969,1,18,324.36
1969,1,25,324.14
1969,2,1,324.16
1969,2,8,323.92
1969,2,15,324.37
1969,2,22,324.86
1969,3,1,325.14
1969,3,8,325.58
1969,3,15,325.72
1969,3,22,325.96
1969,3,29,325.89
1969,4,5,326.27
1969,4,12,327.13
1969,4,19,326.58
1969,4,26,326.57
1969,5,3,327.52
1969,5,10,327.82
1969,5,17,326.86
1969,5,24,326.92
1969,5,31,327.43
1969,6,7,326.51
1969,6,14,326.78
1969,6,21,326.73
1969,6,28,326.37
1969,7,5,326.16
1969,7,12,326.07
1969,7,19,325.72
1969,7,26,325.47
1969,8,2,324.5
1969,8,9,324.56
1969,8,16,323.14
1969,8,23,322.56
1969,8,30,323.14
1969,9,6,322.21
1969,9,13,322.79
1969,9,20,322.84
1969,9,27,321.96
1969,10,4,321.5
1969,10,11,321.82
1969,10,18,322
1969,10,25,321.93
1969,11,1,322.21
1969,11,8,322.64
1969,11,15,322.78
1969,11,22,323.1
1969,11,29,323.52
1969,12,6,323.91
1969,12,13,323.99
1969,12,20,324.22
1969,12,27,324.5
1970,1,3,324.7
1970,1,10,325.4
1970,1,17,325.05
1970,1,24,324.8
1970,1,31,325.55
1970,2,7,325.7
1970,2,14,326.02
1970,2,21,326.32
1970,2,28,326.17
1970,3,7,326.85
1970,3,14,326.8
1970,3,21,327.51
1970,3,28,326.95
1970,4,4,328.2
1970,4,11,327.84
1970,4,18,327.81
1970,4,25,328.55
1970,5,2,327.99
1970,5,9,327.56
1970,5,16,328.03
1970,5,23,328.33
1970,5,30,327.98
1970,6,6,327.55
1970,6,13,327.86
1970,6,20,327.71
1970,6,27,327.23
1970,7,4,327.29
1970,7,11,326.24
1970,7,18,326.28
1970,7,25,325.63
1970,8,1,325.24
1970,8,8,325.21
1970,8,15,324.86
1970,8,22,324.84
1970,8,29,323.33
1970,9,5,322.97
1970,9,12,323.58
1970,9,19,323.18
1970,9,26,323.15
1970,10,3,323.21
1970,10,10,323.56
1970,10,17,322.92
1970,10,24,323.02
1970,10,31,323.18
1970,11,7,323.69
1970,11,14,323.76
1970,11,21,324.23
1970,11,28,324.71
1970,12,5,324.73
1970,12,12,325
1970,12,19,325.29
1970,12,26,325.58
1971,1,2,325.77
1971,1,9,325.89
1971,1,16,325.9
